kc_pos,kc_vel,d_safe,k_rep,u_max,final_mean_err,decay_ratio,min_pair_dist,improve_final_pct,improve_decay_pct,safe_flag,score
0.12,0.3,0.45,2.4,1.2,1.08915733447927,0.638718391089783,0.184432856239111,8.66097598865154,8.66097598865156,0,1.24482877208817
0.08,0.2,0.45,1.8,1,1.10438918466145,0.647650858910267,0.184004069922237,7.38360100756836,7.38360100756836,0,1.26434848543908
0.08,0.2,0.45,1.8,1.2,1.10438918466145,0.647650858910267,0.184004069922237,7.38360100756836,7.38360100756836,0,1.26434848543908
0.12,0.2,0.45,2.4,1,1.08801667608983,0.638049470752728,0.182247639510739,8.75663399941222,8.75663399941223,0,1.26554028098244
0.12,0.2,0.45,2.4,1.2,1.08801667608983,0.638049470752728,0.182247639510739,8.75663399941222,8.75663399941223,0,1.26554028098244
0.12,0.1,0.45,2.4,1,1.08696465897122,0.6374325326299,0.180293120949317,8.84485836683386,8.84485836683387,0,1.28403344947805
0.12,0.1,0.45,2.4,1.2,1.08696465897122,0.6374325326299,0.180293120949317,8.84485836683386,8.84485836683387,0,1.28403344947805
0.08,0.1,0.45,1.8,1,1.10251771024036,0.646553363540808,0.181093903371492,7.54054678727615,7.54054678727616,0,1.29157867652544
0.08,0.1,0.45,1.8,1.2,1.10251771024036,0.646553363540808,0.181093903371492,7.54054678727615,7.54054678727616,0,1.29157867652544
0.04,0.3,0.35,1.8,1,1.13574638615377,0.66603977358055,0.183045356047855,4.75392016223385,4.75392016223386,0,1.30529282567521
0.04,0.3,0.35,1.8,1.2,1.13574638615377,0.66603977358055,0.183045356047855,4.75392016223385,4.75392016223386,0,1.30529282567521
0.04,0.2,0.35,2.4,1,1.13412333521973,0.665087962075981,0.18053276650689,4.89003262600963,4.89003262600963,0,1.32879567015084
0.04,0.2,0.35,2.4,1.2,1.13412333521973,0.665087962075981,0.18053276650689,4.89003262600963,4.89003262600963,0,1.32879567015084
0.04,0.2,0.45,0.8,1,1.135116535223,0.665670407869658,0.179855460931921,4.80674078554273,4.80674078554273,0,1.3365619259038
0.04,0.2,0.45,0.8,1.2,1.135116535223,0.665670407869658,0.179855460931921,4.80674078554273,4.80674078554273,0,1.3365619259038
0.16,0.3,0.45,2.4,1.2,1.08133393351603,0.634130486369404,0.171026474122343,9.31706284204791,9.31706284204792,0,1.3710691922926
0.16,0.3,0.45,2.4,1,1.08280653473547,0.634994069115278,0.170892869218388,9.19356740765675,9.19356740765675,0,1.37387784255159
0.16,0.2,0.45,2.4,1.2,1.08127977145674,0.634098723921251,0.169991537916726,9.32160498621494,9.32160498621495,0,1.38136439228948
0.16,0.2,0.45,2.4,1,1.0828137036843,0.634998273227316,0.169877229750953,9.19296620453544,9.19296620453545,0,1.38404140617477
0.04,0.3,0.35,1.2,1,1.13517923510691,0.665707177184523,0.174891681073601,4.80148264145254,4.80148264145254,0,1.3862624243709
0.04,0.3,0.35,1.2,1.2,1.13517923510691,0.665707177184523,0.174891681073601,4.80148264145254,4.80148264145254,0,1.3862624243709
0.16,0.1,0.45,2.4,1.2,1.08141720769575,0.634179321141392,0.169095013521313,9.31007929425362,9.31007929425362,0,1.39046707248262
0.16,0.1,0.45,2.4,1,1.08301847034068,0.635118355262456,0.169002332747476,9.17579404221171,9.17579404221172,0,1.39299514286591
0.04,0.1,0.35,2.4,1,1.13193120224012,0.663802421772969,0.172454052576634,5.07386950661686,5.07386950661687,0,1.40739067647378
0.04,0.1,0.35,2.4,1.2,1.13193120224012,0.663802421772969,0.172454052576634,5.07386950661686,5.07386950661687,0,1.40739067647378
0.12,0.3,0.45,1.8,1,1.08690276856303,0.637396238018743,0.167663493915441,8.85004862658878,8.85004862658879,0,1.41026782940862
0.12,0.3,0.45,1.8,1.2,1.08690276856303,0.637396238018743,0.167663493915441,8.85004862658878,8.85004862658879,0,1.41026782940862
0.12,0.2,0.45,1.8,1,1.08575486022672,0.636723066069682,0.166376484102425,8.94631463313694,8.94631463313694,0,1.42199001920248
0.12,0.2,0.45,1.8,1.2,1.08575486022672,0.636723066069682,0.166376484102425,8.94631463313694,8.94631463313694,0,1.42199001920248
0.04,0.2,0.35,1.8,1,1.1335562278156,0.66475539127351,0.17052653639622,4.93759144525783,4.93759144525785,0,1.4282908638534
0.04,0.2,0.35,1.8,1.2,1.1335562278156,0.66475539127351,0.17052653639622,4.93759144525783,4.93759144525785,0,1.4282908638534
0.12,0.1,0.45,1.8,1,1.08467445292741,0.636089478992687,0.165298821927961,9.03691986080253,9.03691986080254,0,1.43168623364779
0.12,0.1,0.45,1.8,1.2,1.08467445292741,0.636089478992687,0.165298821927961,9.03691986080253,9.03691986080254,0,1.43168623364779
0.04,0.3,0.35,0.8,1,1.13479103786508,0.665479525301843,0.169337418375756,4.83403767833331,4.83403767833332,0,1.44141685410752
0.04,0.3,0.35,0.8,1.2,1.13479103786508,0.665479525301843,0.169337418375756,4.83403767833331,4.83403767833332,0,1.44141685410752
0.04,0.1,0.45,0.8,1,1.132909057437,0.664375868857519,0.167205161004724,4.99186451387568,4.99186451387568,0,1.46085744738977
0.04,0.1,0.45,0.8,1.2,1.132909057437,0.664375868857519,0.167205161004724,4.99186451387568,4.99186451387568,0,1.46085744738977
0.16,0.3,0.45,1.8,1.2,1.078613042972,0.63253486489618,0.158646287038787,9.5452424437142,9.54524244371421,0,1.49215017258413
0.08,0.3,0.45,1.2,1,1.10352189491851,0.647142251116258,0.161006045327758,7.45633374887874,7.45633374887875,0,1.49346144164093
0.08,0.3,0.45,1.2,1.2,1.10352189491851,0.647142251116258,0.161006045327758,7.45633374887874,7.45633374887875,0,1.49346144164093
0.16,0.3,0.45,1.8,1,1.08006326917484,0.633385326181864,0.158567926370426,9.42362342525871,9.42362342525871,0,1.49438400547058
0.16,0.2,0.45,1.8,1.2,1.07841361362246,0.632417912836786,0.158293653694353,9.56196700826441,9.56196700826441,0,1.49547707667893
0.16,0.2,0.45,1.8,1,1.07993915864921,0.633312543606987,0.158227305532947,9.43403159487935,9.43403159487935,0,1.49766610331974
