p,d,rmse_pos,rmse_vel,max_pos_err,control_rms,settle_time_abs,settle_time_50pct,loss_rate_emp,final_pos_err,decay_ratio
0.35,3,0.658029964857282,0.0166648221983677,1.28062484748657,0.050177551396361,66.7,35.35,0.339,0.16536038335664,0.129124765680743
0.35,4,0.655864947739522,0.01667862123232,1.28062484748657,0.0502761050084414,66.45,35.15,0.3575,0.16567493779684,0.129370391431966
0.35,5,0.655497295745067,0.0166925430212092,1.28062484748657,0.0503769426366995,66.35,35.1,0.34,0.165990910884732,0.129617124960925
0.35,6,0.655133063382162,0.016706120858937,1.28062484748657,0.0504768286054727,66.25,35.05,0.3415,0.166306962396356,0.129863919728529
0.35,7,0.655405587606004,0.0167210718437462,1.28062484748657,0.0505753373065891,66.2,35.05,0.346,0.166643282632197,0.130126541710682
0.35,8,0.654441177175777,0.0167352485766143,1.28062484748657,0.0506763520417499,66.05,34.95,0.3505,0.166949501570099,0.13036565852815
0.45,0,0.657060541052336,0.016629101080136,1.28062484748657,0.0499373726717145,66.8,35.3,0.459,0.164495567295638,0.1284494577928
0.45,1,0.656784330779326,0.0166406417084461,1.28062484748657,0.0500159501307896,66.7,35.25,0.429,0.164763596476705,0.128658753420317
0.45,2,0.656408488846817,0.0166563538773661,1.28062484748657,0.0501221802043594,66.6,35.2,0.4475,0.165136935676693,0.12895028235693
0.45,3,0.656087156824426,0.0166692027852174,1.28062484748657,0.0502123484308858,66.5,35.15,0.46,0.165443136516942,0.129189385042505
0.45,4,0.656343744964943,0.0166829385407656,1.28062484748657,0.0503098931109273,66.45,35.2,0.475,0.165767073296107,0.129442337169587
0.45,5,0.656590378316499,0.0166976896989326,1.28062484748657,0.0504104993752444,66.4,35.2,0.447,0.166144707577968,0.129737220001668
0.45,6,0.655056978673535,0.0167107187218489,1.28062484748657,0.0505032298653168,66.2,35.05,0.455,0.166410217882911,0.129944548717384
0.45,7,0.6559047200418,0.0167257372686395,1.28062484748657,0.0506061174200417,66.2,35.1,0.4675,0.166769242732899,0.130224900024555
0.45,8,0.654369077269181,0.0167393326466584,1.28062484748657,0.0506998967050539,66,34.95,0.452,0.167055035284075,0.130448066513739
0.55,0,0.658764823238228,0.0166358648934981,1.28062484748657,0.0499733981261619,66.9,35.4,0.549,0.16462947437376,0.12855402165347
0.55,1,0.656667865253598,0.0166470127675388,1.28062484748657,0.0500530242268299,66.7,35.25,0.5685,0.164921891086647,0.128782360743923
0.55,2,0.656157154091892,0.0166640933994526,1.28062484748657,0.0501869259529119,66.55,35.2,0.5625,0.165288429190613,0.129068578916783
0.55,3,0.655943425916256,0.0166746177914669,1.28062484748657,0.0502512711816728,66.5,35.15,0.548,0.165602693232988,0.129313977905402
0.55,4,0.655588436768514,0.0166891664306932,1.28062484748657,0.0503532895948165,66.35,35.1,0.567,0.1659110822033,0.129554789233496
