kc_pos,kc_vel,d_safe,k_rep,u_max,final_mean_err,decay_ratio,min_pair_dist,improve_final_pct,improve_decay_pct,safe_flag,score
0.04,0.2,0.35,2.4,1,1.13454213903799,0.665333562681612,0.180339196049142,4.85491085728039,4.85491085728039,0,1.33115017854656
0.04,0.2,0.35,2.4,1.2,1.13454213903799,0.665333562681612,0.180339196049142,4.85491085728039,4.85491085728039,0,1.33115017854656
0.04,0.2,0.45,0.8,1,1.13553702500027,0.665916997178201,0.179550395029007,4.7714776287459,4.7714776287459,0,1.3400330747102
0.04,0.2,0.45,0.8,1.2,1.13553702500027,0.665916997178201,0.179550395029007,4.7714776287459,4.7714776287459,0,1.3400330747102
0.16,0.3,0.45,2.4,1.2,1.08280556175285,0.634993498525636,0.171050893209833,9.19364900402494,9.19364900402494,0,1.37229662965452
0.16,0.3,0.45,2.4,1,1.08427952898152,0.635857882345136,0.170929918915022,9.0700390132283,9.0700390132283,0,1.3749803398313
0.16,0.2,0.45,2.4,1.2,1.08268277731089,0.6349214936107,0.170021022999894,9.20394596548097,9.20394596548098,0,1.38247254731195
0.16,0.2,0.45,2.4,1,1.08421716096866,0.635821307650585,0.169907798051635,9.07526932591438,9.0752693259144,0,1.38513918045231
0.04,0.3,0.35,1.2,1,1.13566673743072,0.665993064897948,0.174475728673956,4.76059967160955,4.76059967160956,0,1.39090945069115
0.04,0.3,0.35,1.2,1.2,1.13566673743072,0.665993064897948,0.174475728673956,4.76059967160955,4.76059967160956,0,1.39090945069115
0.16,0.1,0.45,2.4,1.2,1.0827536183544,0.634963037174613,0.169141308392623,9.19800508662939,9.1980050866294,0,1.39134053442817
0.16,0.1,0.45,2.4,1,1.08435270589314,0.635900795740453,0.169035618542147,9.06390224356585,9.06390224356586,0,1.39399652047167
0.04,0.1,0.35,2.4,1,1.13228315160094,0.664008816682477,0.172347555465249,5.04435429324834,5.04435429324835,0,1.40880759694846
0.04,0.1,0.35,2.4,1.2,1.13228315160094,0.664008816682477,0.172347555465249,5.04435429324834,5.04435429324835,0,1.40880759694846
