agv_id,loss_rate_emp,final_pos_err
1,0.198350206224222,0.094634343178902
2,0.198350206224222,0.14287555257582
3,0.198350206224222,0.442816848361157
4,0.198350206224222,0.458263477913296
5,0.198350206224222,0.459849546285601
6,0.198350206224222,0.143931779849078
7,0.198350206224222,0.443340822491894
8,0.198350206224222,0.0876926891120806
9,0.198350206224222,0.142483058911914
10,0.198350206224222,0.0944738857999084
11,0.198350206224222,0.458785739689223
12,0.198350206224222,0.442944084202889
